182,163,216,44,99,0.36
183,163,215,44,100,0.32
187,141,224,56,110,0.29
192,110,224,62,136,0.31
193,107,225,60,140,0.78
194,101,230,65,136,0.52
195,88,228,65,142,0.61
196,85,233,66,134,0.48
197,77,232,63,136,0.31
198,69,234,71,151,0.3
199,60,226,64,171,0.42
200,51,228,67,164,0.67
201,44,223,64,176,0.41
202,39,225,66,174,0.51
203,20,234,73,159,0.44
204,10,209,84,202,0.28
205,5,230,89,192,0.32
345,315,196,28,74,0.51
350,317,193,27,82,0.38
352,317,197,27,72,0.63
353,318,197,25,70,0.35
359,318,212,26,76,0.39
375,321,181,22,70,0.28
376,320,179,24,75,0.43
377,321,180,22,73,0.31
379,320,195,24,67,0.43
420,331,213,27,62,0.53
776,184,187,30,82,0.46
939,124,237,32,77,0.33
943,155,230,31,76,0.33
944,168,227,33,83,0.36
945,135,238,33,74,0.34
945,167,233,36,86,0.67
946,171,232,34,89,0.41
946,184,235,34,84,0.33
947,153,235,34,87,0.65
947,183,237,32,84,0.29
947,205,235,29,83,0.58
948,162,236,36,84,0.56
948,214,236,30,82,0.56
949,171,233,35,88,0.45
949,201,233,32,93,0.56
949,223,234,29,87,0.25
950,186,233,34,88,0.52
950,216,235,32,88,0.64
950,238,238,29,81,0.58
951,198,234,34,86,0.47
951,232,235,33,87,0.43
951,250,238,31,82,0.83
952,250,235,34,87,0.56
953,218,231,36,91,0.33
953,262,234,34,86,0.81
954,226,227,41,102,0.36
954,268,232,33,94,0.61
955,283,230,32,94,0.59
956,243,227,48,101,0.34
956,294,231,34,94,0.51
957,307,233,33,91,0.44
958,262,228,42,105,0.26
958,317,232,32,96,0.44
960,290,228,44,104,0.4
960,322,227,44,107,0.38
961,322,229,43,103,0.43
962,324,229,43,104,0.47
965,357,225,45,112,0.46
966,373,227,43,107,0.26
999,244,222,30,86,0.27
1000,246,223,33,84,0.39
1001,259,223,33,82,0.5
1002,265,224,34,80,0.33
1008,332,225,31,79,0.26
1011,356,225,32,83,0.26
1017,394,221,30,84,0.49
1018,395,222,30,86,0.54
1044,285,211,49,108,0.29
1045,270,216,48,99,0.49
1048,237,213,45,106,0.44
1049,222,213,45,110,0.39
1050,201,203,42,130,0.54
1051,188,217,48,115,0.49
1052,160,215,49,120,0.52
1053,155,220,49,112,0.4
1054,130,220,48,113,0.46
1065,296,254,29,57,0.29
1077,584,244,31,79,0.35
1104,515,241,44,103,0.37
1106,496,246,42,100,0.6
1107,486,241,44,109,0.54
1108,482,246,43,96,0.58
1109,468,246,45,100,0.3
1110,462,245,44,101,0.46
